FECHA,COD_ALMACEN,COD_SKU,DESC_SKU,DEMANDA
13-01-18,W113,PT-001,SKU_1,25
13-01-18,W113,PT-002,SKU_2,6
13-01-18,W113,PT-003,SKU_3,26
13-01-18,W113,PT-004,SKU_4,1
13-01-18,W113,PT-005,SKU_5,11
01-01-18,W113,PT-006,SKU_6,1
01-01-18,W113,PT-007,SKU_7,2
01-01-18,W113,PT-008,SKU_8,1
01-01-18,W113,PT-009,SKU_9,1
01-01-18,W113,PT-010,SKU_10,7
01-01-18,W113,PT-003,SKU_3,20
13-01-18,W113,PT-010,SKU_10,6
01-01-18,W113,PT-011,SKU_11,6
01-01-18,W113,PT-012,SKU_12,3
04-01-18,W113,PT-013,SKU_13,11
02-01-18,W113,PT-014,SKU_14,9
02-01-18,W113,PT-015,SKU_15,2
05-01-18,W113,PT-016,SKU_16,24
05-01-18,W113,PT-017,SKU_17,14
05-01-18,W113,PT-010,SKU_10,9
05-01-18,W113,PT-018,SKU_18,1
04-01-18,W113,PT-019,SKU_19,6
04-01-18,W113,PT-002,SKU_2,1
04-01-18,W113,PT-020,SKU_20,3
04-01-18,W113,PT-021,SKU_21,2
05-01-18,W113,PT-022,SKU_22,21
05-01-18,W113,PT-002,SKU_2,1
05-01-18,W113,PT-003,SKU_3,18
06-01-18,W113,PT-013,SKU_13,39
06-01-18,W113,PT-023,SKU_23,3
06-01-18,W113,PT-020,SKU_20,1
06-01-18,W113,PT-001,SKU_1,22
06-01-18,W113,PT-024,SKU_24,2
06-01-18,W113,PT-025,SKU_25,30
08-01-18,W113,PT-026,SKU_26,18
08-01-18,W113,PT-023,SKU_23,2
08-01-18,W113,PT-010,SKU_10,17
08-01-18,W113,PT-027,SKU_27,2
08-01-18,W113,PT-002,SKU_2,5
08-01-18,W113,PT-018,SKU_18,1
08-01-18,W113,PT-028,SKU_28,1
08-01-18,W113,PT-029,SKU_29,17
08-01-18,W113,PT-030,SKU_30,3
09-01-18,W113,PT-023,SKU_23,6
10-01-18,W113,PT-001,SKU_1,14
10-01-18,W113,PT-031,SKU_31,3
10-01-18,W113,PT-014,SKU_14,18
10-01-18,W113,PT-003,SKU_3,7
11-01-18,W113,PT-027,SKU_27,1
11-01-18,W113,PT-031,SKU_31,5
11-01-18,W113,PT-025,SKU_25,17
11-01-18,W113,PT-017,SKU_17,1
28-01-18,W113,PT-016,SKU_16,35
09-01-18,W113,PT-008,SKU_8,3
10-01-18,W113,PT-032,SKU_32,3
11-01-18,W113,PT-033,SKU_33,6
11-01-18,W113,PT-034,SKU_34,1
28-01-18,W113,PT-035,SKU_35,1
28-01-18,W113,PT-009,SKU_9,6
28-01-18,W113,PT-036,SKU_36,10
12-01-18,W113,PT-037,SKU_37,7
14-01-18,W113,PT-026,SKU_26,33
14-01-18,W113,PT-038,SKU_38,11
14-01-18,W113,PT-039,SKU_39,14
14-01-18,W113,PT-031,SKU_31,3
09-01-18,W113,PT-034,SKU_34,1
10-01-18,W113,PT-040,SKU_40,1
14-01-18,W113,PT-041,SKU_41,1
14-01-18,W113,PT-021,SKU_21,2
14-01-18,W113,PT-042,SKU_42,6
14-01-18,W113,PT-043,SKU_43,2
14-01-18,W113,PT-037,SKU_37,3
14-01-18,W113,PT-004,SKU_4,1
14-01-18,W113,PT-010,SKU_10,3
15-01-18,W113,PT-016,SKU_16,26
16-01-18,W113,PT-023,SKU_23,3
18-01-18,W113,PT-032,SKU_32,6
18-01-18,W113,PT-010,SKU_10,4
18-01-18,W113,PT-044,SKU_44,1
18-01-18,W113,PT-013,SKU_13,7
19-01-18,W113,PT-016,SKU_16,13
19-01-18,W113,PT-045,SKU_45,1
19-01-18,W113,PT-041,SKU_41,1
20-01-18,W113,PT-029,SKU_29,14
20-01-18,W113,PT-046,SKU_46,9
20-01-18,W113,PT-045,SKU_45,2
14-01-18,W113,PT-006,SKU_6,3
14-01-18,W113,PT-027,SKU_27,2
16-01-18,W113,PT-022,SKU_22,24
16-01-18,W113,PT-019,SKU_19,7
16-01-18,W113,PT-028,SKU_28,1
18-01-18,W113,PT-047,SKU_47,1
19-01-18,W113,PT-048,SKU_48,7
15-01-18,W113,PT-031,SKU_31,8
15-01-18,W113,PT-042,SKU_42,5
15-01-18,W113,PT-049,SKU_49,2
19-01-18,W113,PT-004,SKU_4,4
21-01-18,W113,PT-016,SKU_16,19
21-01-18,W113,PT-017,SKU_17,8
21-01-18,W113,PT-029,SKU_29,21
21-01-18,W113,PT-012,SKU_12,5
21-01-18,W113,PT-011,SKU_11,5
21-01-18,W113,PT-022,SKU_22,58
21-01-18,W113,PT-018,SKU_18,6
21-01-18,W113,PT-039,SKU_39,10
21-01-18,W113,PT-042,SKU_42,8
22-01-18,W113,PT-019,SKU_19,8
22-01-18,W113,PT-012,SKU_12,2
23-01-18,W113,PT-026,SKU_26,11
23-01-18,W113,PT-050,SKU_50,1
24-01-18,W113,PT-051,SKU_51,45
24-01-18,W113,PT-030,SKU_30,2
24-01-18,W113,PT-020,SKU_20,5
24-01-18,W113,PT-017,SKU_17,4
24-01-18,W113,PT-004,SKU_4,1
24-01-18,W113,PT-033,SKU_33,3
24-01-18,W113,PT-042,SKU_42,4
25-01-18,W113,PT-013,SKU_13,17
25-01-18,W113,PT-048,SKU_48,5
25-01-18,W113,PT-021,SKU_21,2
26-01-18,W113,PT-008,SKU_8,1
26-01-18,W113,PT-011,SKU_11,3
26-01-18,W113,PT-018,SKU_18,3
26-01-18,W113,PT-013,SKU_13,25
26-01-18,W113,PT-002,SKU_2,1
29-01-18,W113,PT-023,SKU_23,3
29-01-18,W113,PT-041,SKU_41,3
22-01-18,W113,PT-018,SKU_18,1
29-01-18,W113,PT-004,SKU_4,2
29-01-18,W113,PT-022,SKU_22,17
29-01-18,W113,PT-042,SKU_42,3
29-01-18,W113,PT-009,SKU_9,2
30-01-18,W113,PT-031,SKU_31,11
30-01-18,W113,PT-015,SKU_15,1
30-01-18,W113,PT-039,SKU_39,2
31-01-18,W113,PT-029,SKU_29,7
31-01-18,W113,PT-030,SKU_30,2
31-01-18,W113,PT-027,SKU_27,1
31-01-18,W113,PT-008,SKU_8,1
