Amor_amistad,Dia_padre,Diciembre,Semana_santa,Dia_madre,Diciembre_1_sab
15-09-18,24-06-18,01-01-18,29-03-18,13-05-18,01-12-18
16-09-18,16-06-19,01-05-18,30-03-18,12-05-19,07-12-19
21-09-19,21-06-20,20-07-18,18-04-19,10-05-20,05-12-20
22-09-19,20-06-21,07-08-18,19-04-19,09-05-21,04-12-21
19-09-20,26-06-22,07-12-18,09-04-20,30-05-21,03-12-22
20-09-20,18-06-23,08-12-18,10-04-20,08-05-22,02-12-23
18-09-21,16-06-24,24-12-18,01-04-21,14-05-23,07-12-24
19-09-21,,25-12-18,02-04-21,12-05-24,
17-09-22,,31-12-18,14-04-22,,
18-09-22,,01-01-19,15-04-22,,
16-09-23,,01-05-19,06-04-23,,
17-09-23,,20-07-19,07-04-23,,
21-09-24,,07-08-19,28-03-24,,
22-09-24,,08-12-19,29-03-24,,
,,24-12-19,,,
,,25-12-19,,,
,,31-12-19,,,
,,01-01-20,,,
,,01-05-20,,,
,,20-07-20,,,
,,07-08-20,,,
,,07-12-20,,,
,,08-12-20,,,
,,24-12-20,,,
,,25-12-20,,,
,,31-12-20,,,
,,01-01-21,,,
,,01-05-21,,,
,,20-07-21,,,
,,07-08-21,,,
,,07-12-21,,,
,,08-12-21,,,
,,24-12-21,,,
,,25-12-21,,,
,,31-12-21,,,
,,01-01-22,,,
,,01-05-22,,,
,,20-07-22,,,
,,07-08-22,,,
,,07-12-22,,,
,,08-12-22,,,
,,24-12-22,,,
,,25-12-22,,,
,,31-12-22,,,
,,01-01-23,,,
,,01-05-23,,,
,,20-07-23,,,
,,07-08-23,,,
,,07-12-23,,,
,,08-12-23,,,
,,24-12-23,,,
,,25-12-23,,,
,,31-12-23,,,
,,01-01-24,,,
,,01-05-24,,,
,,20-07-24,,,
,,07-08-24,,,
,,07-12-24,,,
,,08-12-24,,,
,,24-12-24,,,
,,25-12-24,,,
,,31-12-24,,,
